"Function / Call Stack","Function (Full)","Effective Time by Utilization","Imbalance or Serial Spinning (OpenMP)","Lock Contention (OpenMP)","Other","Creation (OpenMP)","Scheduling (OpenMP)","Reduction (OpenMP)","Atomics (OpenMP)","Other","Instructions Retired","CPI Rate","CPU Frequency Ratio","Module","Source File","Start Address"
"TlsGetValue","TlsGetValue","0.0287728","0","0","0","0","0","0","0","0","520000000","2","1","kernelbase.dll","","0x100b0260"
"LOCALI","LOCALI","0.0287728","0","0","0","0","0","0","0","0","780000000","2","1.5","dd3imp_therm.exe","locali.for","0x58b050"
"PRODTS","PRODTS","0.0287728","0","0","0","0","0","0","0","0","3380000000","0.230769","0.75","dd3imp_therm.exe","prodts.for","0x44cc10"
"[MKL BLAS]@xdgemm","mkl_blas_xdgemm","0.0287728","0","0","0","0","0","0","0","0","1300000000","1.2","1.5","dd3imp_therm.exe","","0xce59b0"
"[MKL SERVICE]@deallocate","mkl_serv_deallocate","0.0287728","0","0","0","0","0","0","0","0","780000000","0","0","dd3imp_therm.exe","","0x74b960"
"[MKL BLAS]@dgemm_get_blks_size","mkl_blas_avx2_dgemm_get_blks_size","0.0287728","0","0","0","0","0","0","0","0","1300000000","0.8","1","dd3imp_therm.exe","","0x291fab0"
"[MKL SERVICE]@lsame","mkl_serv_lsame","0.0287728","0","0","0","0","0","0","0","0","1040000000","1","1","dd3imp_therm.exe","","0x8f31b0"
"SCDIMP","SCDIMP","0.0287728","0","0","0","0","0","0","0","0","1040000000","0.25","0.25","dd3imp_therm.exe","scdimp.for","0x473840"
"[MKL BLAS]@dtrsm_lln_r","mkl_blas_avx2_dtrsm_lln_r","0.0287728","0","0","0","0","0","0","0","0","520000000","2","1","dd3imp_therm.exe","","0x22068c0"
"PRODT","PRODT","0.0287728","0","0","0","0","0","0","0","0","2600000000","0.5","1.25","dd3imp_therm.exe","prodt.for","0x450e90"
"[MKL PARDISO]@luspxm_pardiso","mkl_pds_luspxm_pardiso","0.0287728","0","0","0","0","0","0","0","0","520000000","4","2","dd3imp_therm.exe","","0x8cf200"
"[MKL BLAS]@dgemm_get_bufs_size","mkl_blas_avx2_dgemm_get_bufs_size","0.0287728","0","0","0","0","0","0","0","0","0","","0.25","dd3imp_therm.exe","","0x174c530"
"cvtas_t_to_a","cvtas_t_to_a","0.0215796","0","0","0","0","0","0","0","0","520000000","1","0.666667","dd3imp_therm.exe","","0x70ed70"
"for_write_seq_fmt_xmit","for_write_seq_fmt_xmit","0.0215796","0","0","0","0","0","0","0","0","520000000","0.5","0.333333","dd3imp_therm.exe","","0x670ef0"
"SIGMAT","SIGMAT","0.0215796","0","0","0","0","0","0","0","0","0","","0.333333","dd3imp_therm.exe","sigmat.for","0x4525b0"
"[MKL BLAS]@xdswap","mkl_blas_xdswap","0.0215796","0","0","0","0","0","0","0","0","1300000000","0.8","1.33333","dd3imp_therm.exe","","0xced8d0"
"NODESTF","NODESTF","0.0215796","0","0","0","0","0","0","0","0","780000000","0.666667","0.666667","dd3imp_therm.exe","nodesTF.for","0x4bfb50"
"[MKL BLAS]@xdtrsm","mkl_blas_avx2_xdtrsm","0.0215796","0","0","0","0","0","0","0","0","1040000000","1.25","1.66667","dd3imp_therm.exe","","0xd61ea0"
"DERIST","DERIST","0.0215796","0","0","0","0","0","0","0","0","1820000000","0.285714","0.666667","dd3imp_therm.exe","derist.for","0x4af9f0"
"DMSRI1","DMSRI1","0.0215796","0","0","0","0","0","0","0","0","780000000","2","2","dd3imp_therm.exe","dmsri1.for","0x5ad070"
"CONORM","CONORM","0.0215796","0","0","0","0","0","0","0","0","1300000000","1","1.66667","dd3imp_therm.exe","coNORM.for","0x430430"
"[MKL SERVICE]@allocate","mkl_serv_allocate","0.0215796","0","0","0","0","0","0","0","0","1040000000","1.5","2","dd3imp_therm.exe","","0x749060"
"func@0x74b0a0","func@0x74b0a0","0.0215796","0","0","0","0","0","0","0","0","520000000","1","0.666667","dd3imp_therm.exe","","0x74b0a0"
"[MKL BLAS]@xdgemm","mkl_blas_avx2_xdgemm","0.0215796","0","0","0","0","0","0","0","0","1560000000","1.5","3","dd3imp_therm.exe","","0xdd23e0"
"[MKL PARDISO]@ldindx_pardiso_mic","mkl_pds_ldindx_pardiso_mic","0.0215796","0","0","0","0","0","0","0","0","780000000","0.333333","0.333333","dd3imp_therm.exe","","0xcb9540"
"GESTA","GESTA","0.0215796","0","0","0","0","0","0","0","0","0","","1","dd3imp_therm.exe","gesta.for","0x5a99c0"
"omp_in_parallel","omp_in_parallel","0.0143864","0","0","0","0","0","0","0","0","260000000","0","0","libiomp5md.dll","","0x10049830"
"_output_s_l","_output_s_l","0.0143864","0","0","0","0","0","0","0","0","0","0","0","libiomp5md.dll","","0x100c718b"
"INITSOLVER","INITSOLVER","0.0143864","0","0","0","0","0","0","0","0","0","","1.5","dd3imp_therm.exe","INITsolver.for","0x63c8c0"
"[MKL BLAS]@dgemm_copyan","mkl_blas_avx2_dgemm_copyan","0.0143864","0","0","0","0","0","0","0","0","1560000000","0.333333","1","dd3imp_therm.exe","","0x2920070"
"CALTRD","CALTRD","0.0143864","0","0","0","0","0","0","0","0","0","","1","dd3imp_therm.exe","caltrd.for","0x4c3140"
"[MKL BLAS]@dtrsm_l2","mkl_blas_avx2_dtrsm_l2","0.0143864","0","0","0","0","0","0","0","0","520000000","2","2","dd3imp_therm.exe","","0x27130a0"
"[MKL PARDISO]@fct_real_block","mkl_pds_fct_real_block","0.0143864","0","0","0","0","0","0","0","0","780000000","1","1.5","dd3imp_therm.exe","","0xcc2600"
"[MKL PARDISO]@psol_bwscat_pardiso_mic","mkl_pds_psol_bwscat_pardiso_mic","0.0143864","0","0","0","0","0","0","0","0","780000000","0.666667","1","dd3imp_therm.exe","","0x99cb00"
"ROT66","ROT66","0.0143864","0","0","0","0","0","0","0","0","1560000000","0.666667","2","dd3imp_therm.exe","rot66.for","0x42a920"
"[MKL PARDISO]@do_all_pardiso_fc","mkl_pds_do_all_pardiso_fc","0.0143864","0","0","0","0","0","0","0","0","520000000","1","1","dd3imp_therm.exe","","0x77b9b0"
"FSHAPEGID","FSHAPEGID","0.0143864","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","GLstrainT.for","0x502e0c"
"[MKL PARDISO]@copy_rhs_omp_to_rhs_real","mkl_pds_copy_rhs_omp_to_rhs_real","0.0143864","0","0","0","0","0","0","0","0","0","","1","dd3imp_therm.exe","","0xb6a4c0"
"EQUI2H48","EQUI2H48","0.0143864","0","0","0","0","0","0","0","0","520000000","4.5","4.5","dd3imp_therm.exe","functions.for","0x607300"
"[MKL BLAS]@dtrsm_lun_r","mkl_blas_avx2_dtrsm_lun_r","0.0143864","0","0","0","0","0","0","0","0","780000000","0.666667","1","dd3imp_therm.exe","","0x2200c80"
"ELEMCO","ELEMCO","0.0143864","0","0","0","0","0","0","0","0","0","","0.5","dd3imp_therm.exe","elemco.for","0x4af590"
"UPDATE","UPDATE","0.0143864","0","0","0","0","0","0","0","0","0","","1","dd3imp_therm.exe","update.for","0x539ec0"
"[MKL BLAS]@dgemm_nn_4x4_m1_1_u","mkl_blas_avx2_dgemm_nn_4x4_m1_1_u","0.0143864","0","0","0","0","0","0","0","0","780000000","0","0","dd3imp_therm.exe","","0x270bba0"
"func@0x2203ab0","func@0x2203ab0","0.0143864","0","0","0","0","0","0","0","0","520000000","3.5","3.5","dd3imp_therm.exe","","0x2203ab0"
"READNSTDATA","READNSTDATA","0.0143864","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","mod_saveNST.f","0x469a40"
"SIGVEC","SIGVEC","0.0143864","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","sigvec.for","0x45a4d0"
"for__put_sf","for__put_sf","0.0143864","0","0","0","0","0","0","0","0","0","","0.5","dd3imp_therm.exe","","0x6d81b0"
"UPDATECONFIG","UPDATECONFIG","0.0143864","0","0","0","0","0","0","0","0","260000000","1","0.5","dd3imp_therm.exe","updateconfig.for","0x515950"
"func@0x6b1017e0","func@0x6b1017e0","0.00719321","0","0","0","0","0","0","0","0","260000000","0","0","wow64cpu.dll","","0x6b1017e0"
"LongCompareString","LongCompareString","0.00719321","0","0","0","0","0","0","0","0","0","","1","kernel32.dll","","0x6b8108f0"
"func@0x10028a71","func@0x10028a71","0.00719321","0","0","0","0","0","0","0","0","0","0","0","ittnotify_collector.dll","","0x10028a71"
"InterlockedExchangeStub","InterlockedExchangeStub","0.00719321","0","0","0","0","0","0","0","0","0","0","0","kernel32.dll","","0x6b817650"
"RtlSetLastWin32Error","RtlSetLastWin32Error","0.00719321","0","0","0","0","0","0","0","0","0","","1","ntdll.dll","","0x4b2d28c0"
"SbSelectProcedure","SbSelectProcedure","0.00719321","0","0","0","0","0","0","0","0","0","0","0","ntdll.dll","","0x4b2ae7f0"
"_getptd_noexit","_getptd_noexit","0.00719321","0","0","0","0","0","0","0","0","0","","1","libiomp5md.dll","","0x100b9bed"
"SpecialMBToWC","SpecialMBToWC","0.00719321","0","0","0","0","0","0","0","0","0","","1","kernelbase.dll","","0x100a4570"
"_SEH_prolog4","_SEH_prolog4","0.00719321","0","0","0","0","0","0","0","0","0","0","0","kernelbase.dll","","0x100d89d8"
"WriteFile","WriteFile","0.00719321","0","0","0","0","0","0","0","0","0","","1","kernelbase.dll","","0x100a7db0"
"for_write_seq_lis_xmit","for_write_seq_lis_xmit","0.00719321","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","","0x680900"
"GENDR","GENDR","0.00719321","0","0","0","0","0","0","0","0","1560000000","0.833333","5","dd3imp_therm.exe","gendr.for","0x43dc40"
"MULESM","MULESM","0.00719321","0","0","0","0","0","0","0","0","2860000000","0.636364","7","dd3imp_therm.exe","mulesm.for","0x438980"
"DERMINUPDATE","DERMINUPDATE","0.00719321","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","derminupdate.for","0x4af770"
"for_cpstr","for_cpstr","0.00719321","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","","0x66df30"
"DESTIN","DESTIN","0.00719321","0","0","0","0","0","0","0","0","260000000","1","1","dd3imp_therm.exe","destin.for","0x47b0f0"
"[MKL BLAS]@dtrsm_l1","mkl_blas_avx2_dtrsm_l1","0.00719321","0","0","0","0","0","0","0","0","1040000000","0.25","1","dd3imp_therm.exe","","0x221cb50"
"PROJECBC","PROJECBC","0.00719321","0","0","0","0","0","0","0","0","520000000","2","4","dd3imp_therm.exe","projecBC.for","0x43d6f0"
"[MKL BLAS]@dgemm_nn_8x8_m1_1_u","mkl_blas_avx2_dgemm_nn_8x8_m1_1_u","0.00719321","0","0","0","0","0","0","0","0","520000000","0","0","dd3imp_therm.exe","","0x270be10"
"DEPEQQQ","DEPEQQQ","0.00719321","0","0","0","0","0","0","0","0","260000000","7","7","dd3imp_therm.exe","DEPEQQQ.for","0x507030"
"STATIP","STATIP","0.00719321","0","0","0","0","0","0","0","0","260000000","1","1","dd3imp_therm.exe","statip.for","0x623c80"
"STATE","STATE","0.00719321","0","0","0","0","0","0","0","0","520000000","0","0","dd3imp_therm.exe","state.for","0x5d9550"
"[MKL PARDISO]@psol_fwgath_pardiso_mic","mkl_pds_psol_fwgath_pardiso_mic","0.00719321","0","0","0","0","0","0","0","0","0","","2","dd3imp_therm.exe","","0x99fde0"
"QROTM","QROTM","0.00719321","0","0","0","0","0","0","0","0","2860000000","0.454545","5","dd3imp_therm.exe","qrotm.for","0x452630"
"[MKL LAPACK]@dlaswp","mkl_lapack_dlaswp","0.00719321","0","0","0","0","0","0","0","0","0","","1","dd3imp_therm.exe","","0xafc8c0"
"INVJ2","INVJ2","0.00719321","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","functions.for","0x607dc0"
"EPMOD_ST","EPMOD_ST","0.00719321","0","0","0","0","0","0","0","0","0","0","0","dd3imp_therm.exe","EPmod.for","0x4ae700"
"GETDATANEW","GETDATANEW","0.00719321","0","0","0","0","0","0","0","0","260000000","1","1","dd3imp_therm.exe","GETdataNew.for","0x517f30"
"func@0xcc64b0","func@0xcc64b0","0.00719321","0","0","0","0","0","0","0","0","260000000","3","3","dd3imp_therm.exe","","0xcc64b0"
"GESTA$omp$parallel@84","GESTA$omp$parallel@84","0.00719321","0","0","0","0","0","0","0","0","260000000","0","0","dd3imp_therm.exe","gesta.for","0x5a9de7"
"[MKL BLAS]@dgemm_get_kernel_version","mkl_blas_avx2_dgemm_get_kernel_version","0.00719321","0","0","0","0","0","0","0","0","520000000","0.5","1","dd3imp_therm.exe","","0x24bb790"
